tile_id,row,column,palette_index,palette_id,palette_name,sku,piece_type,piece_fraction,bounding_width_in,bounding_height_in,clipped_edges,vertices_in
placement-000220,6,1,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,left,0.921875000 4.694004669;0.421875000 4.982679803;0.000000000 4.739110158;0.000000000 4.071548910;0.421875000 3.827979265;0.921875000 4.116654399
placement-000263,6,44,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,right,46.000000000 4.919532117;45.609375000 4.694004669;45.609375000 4.116654399;46.000000000 3.891126950
placement-000264,7,1,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,left,0.390625000 5.614156660;0.000000000 5.839684109;0.000000000 4.811278942;0.390625000 5.036806391
placement-000307,7,44,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,right,46.000000000 5.659262150;45.578125000 5.902831795;45.078125000 5.614156660;45.078125000 5.036806391;45.578125000 4.748131256;46.000000000 4.991700901
placement-000308,8,1,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,left,0.921875000 6.534308652;0.421875000 6.822983786;0.000000000 6.579414141;0.000000000 5.911852893;0.421875000 5.668283248;0.921875000 5.956958382
placement-000351,8,44,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,right,46.000000000 6.759836100;45.609375000 6.534308652;45.609375000 5.956958382;46.000000000 5.731430933
placement-000352,9,1,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,left,0.390625000 7.454460643;0.000000000 7.679988092;0.000000000 6.651582925;0.390625000 6.877110374
placement-000395,9,44,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,right,46.000000000 7.499566133;45.578125000 7.743135778;45.078125000 7.454460643;45.078125000 6.877110374;45.578125000 6.588435239;46.000000000 6.832004884
placement-000396,10,1,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,left,0.921875000 8.374612635;0.421875000 8.663287769;0.000000000 8.419718124;0.000000000 7.752156876;0.421875000 7.508587231;0.921875000 7.797262365
placement-000439,10,44,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,right,46.000000000 8.600140083;45.609375000 8.374612635;45.609375000 7.797262365;46.000000000 7.571734917
placement-000440,11,1,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,left,0.390625000 9.294764626;0.000000000 9.520292075;0.000000000 8.491886908;0.390625000 8.717414357
placement-000483,11,44,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,right,46.000000000 9.339870116;45.578125000 9.583439761;45.078125000 9.294764626;45.078125000 8.717414357;45.578125000 8.428739222;46.000000000 8.672308867
