tile_id,row,column,part_filename,geometry_hash,palette_index,palette_id,palette_name,sku,piece_type
placement-000117,3,30,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000118,3,31,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000119,3,32,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000120,3,33,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000121,3,34,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000122,3,35,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000123,3,36,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000124,3,37,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000125,3,38,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000126,3,39,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000127,3,40,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000128,3,41,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000129,3,42,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000130,3,43,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000131,3,44,cut_3a4ceaf4f5962851.stl,3a4ceaf4f596285109244b7bfa8862ff4d965cbc47916b575b96ea38ed6008bd,1,P02,White,,edge_cut
placement-000132,4,1,cut_49677025bd830ab6.stl,49677025bd830ab6f6e204ff344e3e36350c91d280e55fb4ddc3a423c60b97e6,1,P02,White,,edge_cut
placement-000133,4,2,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000134,4,3,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000135,4,4,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000136,4,5,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
